,id,second_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,ict_index,web_name,form,position,value
223,152,Milivojevic,Crystal Palace,3,0.0,53,567,3191,2.8,15,22.8,Milivojevic,0.3,Midfielder,2.8
224,153,Ayew,Crystal Palace,4,0.8,58,1348,298624,8.3,48,84.5,Ayew,0.7,Forward,8.3
225,154,Zaha,Crystal Palace,3,4.2,68,1481,901704,9.9,67,109.9,Zaha,2.0,Midfielder,9.9
226,155,Schlupp,Crystal Palace,3,0.1,54,841,7001,7.6,41,55.8,Schlupp,2.7,Midfielder,7.6
227,156,Butland,Crystal Palace,1,0.5,44,270,144469,3.2,14,9.2,Butland,3.7,Goalkeeper,3.2
228,157,Riedewald,Crystal Palace,3,0.0,47,116,2154,0.9,4,4.0,Riedewald,0.0,Midfielder,0.9
230,159,Mateta,Crystal Palace,4,0.3,52,376,34183,3.3,17,26.8,Mateta,2.3,Forward,3.3
231,160,Eze,Crystal Palace,3,0.1,59,133,119599,1.0,6,4.5,Eze,1.3,Midfielder,1.0
232,161,Ferguson,Crystal Palace,2,0.0,45,8,1199,0.2,1,0.0,Ferguson,0.0,Defender,0.2
233,162,Mitchell,Crystal Palace,2,1.3,45,2061,201795,13.8,62,73.5,Mitchell,1.7,Defender,13.8
234,386,Hughes,Crystal Palace,3,0.1,47,664,13027,5.1,24,27.0,Hughes,1.3,Midfielder,5.1
235,464,Olise,Crystal Palace,3,0.6,54,550,71255,8.7,47,51.0,Olise,4.0,Midfielder,8.7
236,474,Ward,Crystal Palace,2,0.3,45,1980,28435,10.9,49,53.4,Ward,1.3,Defender,10.9
237,477,Guéhi,Crystal Palace,2,1.6,45,1980,258947,14.7,66,66.7,Guéhi,1.7,Defender,14.7
238,488,Andersen,Crystal Palace,2,0.4,45,1564,56531,11.6,52,46.5,Andersen,1.0,Defender,11.6
239,493,Clyne,Crystal Palace,2,0.1,43,91,3890,0.5,2,1.7,Clyne,0.0,Defender,0.5
241,541,Rak-Sakyi,Crystal Palace,3,0.0,44,13,3371,0.2,1,0.6,Rak-Sakyi,0.0,Midfielder,0.2
245,586,Edouard,Crystal Palace,4,8.9,65,1166,1421318,12.0,78,104.6,Edouard,3.7,Forward,12.0
246,42,El Ghazi,Everton,3,0.3,56,381,82678,3.6,20,23.6,El Ghazi,0.0,Midfielder,3.6
247,163,Delph,Everton,3,0.4,43,247,98451,1.4,6,6.6,Delph,0.0,Midfielder,1.4
249,165,Coleman,Everton,2,0.5,49,1403,104982,6.5,32,51.9,Coleman,1.0,Defender,6.5
252,169,Keane,Everton,2,2.9,48,1800,530619,11.5,55,67.1,Keane,-0.3,Defender,11.5
253,170,Pickford,Everton,1,4.6,49,1800,409761,11.8,58,48.6,Pickford,2.3,Goalkeeper,11.8
254,171,Marques Loureiro,Everton,3,3.5,43,1537,1014738,10.5,45,51.8,Allan,0.3,Midfielder,10.5
255,172,Tavares Gomes,Everton,3,0.1,49,451,8101,2.7,13,27.7,André Gomes,0.7,Midfielder,2.7
256,173,Doucouré,Everton,3,1.3,53,1414,824080,11.9,63,78.8,Doucouré,1.3,Midfielder,11.9
257,174,Iwobi,Everton,3,0.2,58,708,17622,5.5,32,46.3,Iwobi,0.0,Midfielder,5.5
258,175,Mina,Everton,2,0.3,49,647,26841,3.3,16,16.0,Mina,1.0,Defender,3.3
259,176,Davies,Everton,3,0.1,48,154,6053,2.3,11,15.0,Davies,0.0,Midfielder,2.3
260,177,Calvert-Lewin,Everton,4,4.6,79,518,1322713,3.3,26,46.3,Calvert-Lewin,1.0,Forward,3.3
261,178,Holgate,Everton,2,0.4,42,787,73418,3.3,14,15.5,Holgate,1.0,Defender,3.3
262,179,Godfrey,Everton,2,0.5,48,1489,42100,6.0,29,65.4,Godfrey,1.0,Defender,6.0
263,180,de Andrade,Everton,4,4.9,74,1101,1224853,6.8,50,79.6,Richarlison,3.7,Forward,6.8
265,282,van de Beek,Everton,3,0.5,57,99,72718,2.6,15,16.8,van de Beek,0.5,Midfielder,2.6
266,363,Alli,Everton,3,1.3,62,720,373857,4.4,27,32.2,Dele,0.7,Midfielder,4.4
267,481,Begović,Everton,1,2.7,40,90,209971,0.2,1,1.0,Begović,0.0,Goalkeeper,0.2
268,482,Townsend,Everton,3,2.6,52,1410,1522178,12.1,63,103.4,Townsend,1.0,Midfielder,12.1
269,484,Gray,Everton,3,8.9,55,1532,3044523,13.3,73,133.5,Gray,1.7,Midfielder,13.3
270,502,Kenny,Everton,2,0.1,44,265,6631,1.8,8,10.2,Kenny,0.7,Defender,1.8
271,503,Gordon,Everton,3,0.8,45,999,122275,9.3,42,73.3,Gordon,1.7,Midfielder,9.3
272,504,Gbamin,Everton,3,0.0,44,65,2911,0.7,3,0.8,Gbamin,0.0,Midfielder,0.7
273,544,Branthwaite,Everton,2,0.4,40,145,50795,2.2,9,9.7,Branthwaite,0.0,Defender,2.2
275,564,Kean,Everton,4,0.0,60,1,2460,0.2,1,0.0,Kean,0.0,Forward,0.2
278,591,Rondón,Everton,4,0.2,60,706,68263,3.8,23,44.9,Rondón,0.3,Forward,3.8
279,602,Simms,Everton,4,0.3,45,61,69799,0.4,2,0.7,Simms,0.0,Forward,0.4
280,607,Dobbin,Everton,4,0.4,45,30,79663,0.4,2,0.8,Dobbin,0.0,Forward,0.4
283,622,Tosun,Everton,4,0.1,50,5,122865,0.2,1,0.0,Tosun,0.0,Forward,0.2
285,630,Onyango,Everton,3,0.0,45,27,373,0.7,3,1.9,Onyango,0.3,Midfielder,0.7
287,675,Mykolenko,Everton,2,0.0,50,90,5572,0.2,1,3.0,Mykolenko,0.3,Defender,0.2
288,200,Schmeichel,Leicester,1,12.5,48,1890,918694,14.0,67,62.3,Schmeichel,3.0,Goalkeeper,14.0
289,201,Evans,Leicester,2,0.2,54,751,25853,3.5,19,32.6,Evans,0.0,Defender,3.5
290,202,Albrighton,Leicester,3,0.1,52,632,18534,4.2,22,24.0,Albrighton,1.7,Midfielder,4.2
293,205,Vardy,Leicester,4,9.2,103,1320,3392581,7.7,79,105.9,Vardy,0.0,Forward,7.7
295,207,Barbosa Pereira,Leicester,2,1.5,52,595,319063,4.0,21,27.0,Pereira,0.0,Defender,4.0
296,208,Amartey,Leicester,2,8.2,38,965,1036963,5.8,22,23.6,Amartey,1.0,Defender,5.8
297,209,Castagne,Leicester,2,0.5,53,1271,103602,5.5,29,36.7,Castagne,0.0,Defender,5.5
298,210,Tielemans,Leicester,3,3.7,64,1380,872283,11.7,75,112.9,Tielemans,1.7,Midfielder,11.7
299,211,Pérez,Leicester,3,0.1,57,216,10544,2.3,13,26.7,Pérez,0.3,Midfielder,2.3
300,212,Maddison,Leicester,3,11.4,69,1429,1814828,13.6,94,122.5,Maddison,4.0,Midfielder,13.6
301,213,Iheanacho,Leicester,4,1.9,69,615,349432,6.5,45,54.6,Iheanacho,0.3,Forward,6.5
302,214,Choudhury,Leicester,3,0.1,44,223,11515,0.9,4,4.6,Choudhury,0.3,Midfielder,0.9
303,215,Barnes,Leicester,3,2.1,65,1114,262441,9.2,60,96.6,Barnes,3.7,Midfielder,9.2
304,216,Ndidi,Leicester,3,0.8,48,1260,80465,6.5,31,42.8,Ndidi,0.7,Midfielder,6.5
305,217,Söyüncü,Leicester,2,1.5,49,1597,148529,7.1,35,48.5,Söyüncü,1.0,Defender,7.1
306,218,Justin,Leicester,2,0.2,49,217,20525,0.6,3,9.4,Justin,1.0,Defender,0.6
307,219,Thomas,Leicester,2,0.7,43,1132,153392,7.2,31,40.8,Thomas,1.3,Defender,7.2
309,340,Vestergaard,Leicester,2,0.5,47,562,58426,2.1,10,19.0,Vestergaard,0.3,Defender,2.1
310,455,Daka,Leicester,4,2.0,72,509,382800,6.1,44,53.1,Daka,5.3,Forward,6.1
311,458,Soumaré,Leicester,3,0.1,48,1018,16849,6.9,33,25.4,Soumaré,1.0,Midfielder,6.9
312,473,Bertrand,Leicester,2,0.3,46,337,19183,0.9,4,7.2,Bertrand,0.0,Defender,0.9
313,505,Dewsbury-Hall,Leicester,3,0.2,44,701,28741,5.5,24,37.8,Dewsbury-Hall,2.0,Midfielder,5.5
315,587,Lookman,Leicester,3,0.4,60,954,210862,6.8,41,72.1,Lookman,2.3,Midfielder,6.8
319,647,McAteer,Leicester,3,0.0,45,2,227,0.2,1,0.0,McAteer,0.0,Midfielder,0.2
322,184,Cooper,Leeds,2,0.2,44,1274,63061,9.3,41,39.7,Cooper,0.0,Defender,9.3
323,185,Ayling,Leeds,2,2.9,43,1168,560577,6.5,28,56.1,Ayling,2.3,Defender,6.5
324,186,Klich,Leeds,3,0.3,52,1198,89378,8.1,42,86.3,Klich,2.0,Midfielder,8.1
325,187,Moreno,Leeds,4,1.0,62,1102,242137,6.1,38,89.8,Rodrigo,3.0,Forward,6.1
326,188,Dallas,Leeds,3,3.3,49,1967,286917,11.6,57,102.7,Dallas,1.3,Midfielder,11.6
327,189,Bamford,Leeds,4,3.0,77,458,877718,3.2,25,44.1,Bamford,0.0,Forward,3.2
328,190,Llorente,Leeds,2,0.3,45,1357,91894,10.2,46,42.1,Llorente,2.7,Defender,10.2
329,191,Phillips,Leeds,3,1.0,47,999,99420,5.3,25,35.6,Phillips,0.0,Midfielder,5.3
330,192,Sousa de Azevedo e Costa,Leeds,3,0.0,54,21,1668,0.2,1,0.0,Costa,0.0,Midfielder,0.2
331,193,Roberts,Leeds,3,0.1,48,872,21524,6.5,31,62.5,Roberts,0.3,Midfielder,6.5
332,194,Koch,Leeds,2,0.1,43,540,134750,0.9,4,10.6,Koch,1.0,Defender,0.9
334,196,Dias Belloli,Leeds,3,15.0,65,1708,3151213,14.5,94,166.4,Raphinha,3.3,Midfielder,14.5
335,197,Shackleton,Leeds,3,0.1,44,626,21323,3.6,16,20.7,Shackleton,0.0,Midfielder,3.6
